template_id,template,dof,cpt_class_representative,is_cpt_representative
138,"(1,1) + (3,1) + (3,1) + (3b,1) + (3b,2)",48,"(1,1) + (3,1) + (3,1) + (3b,1) + (3b,2)",True
139,"(1,1) + (3,1) + (3,2) + (3b,1) + (3b,1)",48,"(1,1) + (3,1) + (3,1) + (3b,1) + (3b,2)",False
140,"(1,1) + (3,1) + (3,2) + (6,1)",48,"(1,1) + (3,1) + (3,2) + (6,1)",True
141,"(1,1) + (3,1) + (3,2) + (6b,1)",48,"(1,1) + (3,1) + (3,2) + (6b,1)",True
142,"(1,1) + (3,1) + (3b,1) + (3b,1) + (3b,2)",48,"(1,1) + (3,1) + (3,1) + (3,2) + (3b,1)",False
143,"(1,1) + (3,1) + (3b,2) + (6,1)",48,"(1,1) + (3,1) + (3b,2) + (6,1)",True
144,"(1,1) + (3,1) + (3b,2) + (6b,1)",48,"(1,1) + (3,1) + (3b,2) + (6b,1)",True
145,"(1,1) + (3,1) + (6,2)",48,"(1,1) + (3,1) + (6,2)",True
146,"(1,1) + (3,1) + (6b,2)",48,"(1,1) + (3,1) + (6b,2)",True
147,"(1,1) + (3,2) + (3b,1) + (3b,1) + (3b,1)",48,"(1,1) + (3,1) + (3,1) + (3,1) + (3b,2)",False
148,"(1,1) + (3,2) + (3b,1) + (6,1)",48,"(1,1) + (3,1) + (3b,2) + (6b,1)",False
149,"(1,1) + (3,2) + (3b,1) + (6b,1)",48,"(1,1) + (3,1) + (3b,2) + (6,1)",False
150,"(1,1) + (3b,1) + (3b,1) + (3b,1) + (3b,2)",48,"(1,1) + (3,1) + (3,1) + (3,1) + (3,2)",False
151,"(1,1) + (3b,1) + (3b,2) + (6,1)",48,"(1,1) + (3,1) + (3,2) + (6b,1)",False
152,"(1,1) + (3b,1) + (3b,2) + (6b,1)",48,"(1,1) + (3,1) + (3,2) + (6,1)",False
153,"(1,1) + (3b,1) + (6,2)",48,"(1,1) + (3,1) + (6b,2)",False
154,"(1,1) + (3b,1) + (6b,2)",48,"(1,1) + (3,1) + (6,2)",False
155,"(1,2) + (3,2) + (8,1)",48,"(1,2) + (3,2) + (8,1)",True
156,"(1,2) + (3b,2) + (8,1)",48,"(1,2) + (3,2) + (8,1)",False
157,"(8,2)",48,"(8,2)",True
158,"(1,1) + (1,1) + (3,1) + (3,1) + (3,1) + (3,2)",51,"(1,1) + (1,1) + (3,1) + (3,1) + (3,1) + (3,2)",True
159,"(1,1) + (1,1) + (3,1) + (3,1) + (3,1) + (3b,2)",51,"(1,1) + (1,1) + (3,1) + (3,1) + (3,1) + (3b,2)",True
160,"(1,1) + (1,1) + (3,1) + (3,1) + (3,2) + (3b,1)",51,"(1,1) + (1,1) + (3,1) + (3,1) + (3,2) + (3b,1)",True
161,"(1,1) + (1,1) + (3,1) + (3,1) + (3b,1) + (3b,2)",51,"(1,1) + (1,1) + (3,1) + (3,1) + (3b,1) + (3b,2)",True
162,"(1,1) + (1,1) + (3,1) + (3,2) + (3b,1) + (3b,1)",51,"(1,1) + (1,1) + (3,1) + (3,1) + (3b,1) + (3b,2)",False
163,"(1,1) + (1,1) + (3,1) + (3,2) + (6,1)",51,"(1,1) + (1,1) + (3,1) + (3,2) + (6,1)",True
164,"(1,1) + (1,1) + (3,1) + (3,2) + (6b,1)",51,"(1,1) + (1,1) + (3,1) + (3,2) + (6b,1)",True
165,"(1,1) + (1,1) + (3,1) + (3b,1) + (3b,1) + (3b,2)",51,"(1,1) + (1,1) + (3,1) + (3,1) + (3,2) + (3b,1)",False
