template_id,template,dof,first_failing_filter_or_status
184,"(1,2) + (3,1) + (3,1) + (3b,1) + (3b,2)",51,F4_SU3_cubic
185,"(1,2) + (3,1) + (3,2) + (3b,1) + (3b,1)",51,F4_SU3_cubic
186,"(1,2) + (3,1) + (3,2) + (6,1)",51,F4_SU3_cubic
187,"(1,2) + (3,1) + (3,2) + (6b,1)",51,F4_SU3_cubic
188,"(1,2) + (3,1) + (3b,1) + (3b,1) + (3b,2)",51,F4_SU3_cubic
189,"(1,2) + (3,1) + (3b,2) + (6,1)",51,F4_SU3_cubic
190,"(1,2) + (3,1) + (3b,2) + (6b,1)",51,F4_SU3_cubic
191,"(1,2) + (3,1) + (6,2)",51,F1_SU3_AF
192,"(1,2) + (3,1) + (6b,2)",51,F1_SU3_AF
193,"(1,2) + (3,2) + (3b,1) + (3b,1) + (3b,1)",51,F4_SU3_cubic
194,"(1,2) + (3,2) + (3b,1) + (6,1)",51,F4_SU3_cubic
195,"(1,2) + (3,2) + (3b,1) + (6b,1)",51,F4_SU3_cubic
196,"(1,2) + (3b,1) + (3b,1) + (3b,1) + (3b,2)",51,F4_SU3_cubic
197,"(1,2) + (3b,1) + (3b,2) + (6,1)",51,F4_SU3_cubic
198,"(1,2) + (3b,1) + (3b,2) + (6b,1)",51,F4_SU3_cubic
199,"(1,2) + (3b,1) + (6,2)",51,F1_SU3_AF
200,"(1,2) + (3b,1) + (6b,2)",51,F1_SU3_AF
201,"(3,1) + (3,2) + (8,1)",51,F4_SU3_cubic
202,"(3,1) + (3b,2) + (8,1)",51,F4_SU3_cubic
203,"(3,2) + (3b,1) + (8,1)",51,F4_SU3_cubic
204,"(3b,1) + (3b,2) + (8,1)",51,F4_SU3_cubic
205,"(1,1) + (1,1) + (1,2) + (3,2) + (8,1)",54,F4_SU3_cubic
206,"(1,1) + (1,1) + (1,2) + (3b,2) + (8,1)",54,F4_SU3_cubic
207,"(1,1) + (1,1) + (8,2)",54,F1_SU3_AF
208,"(1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3,2)",54,F4_SU3_cubic
209,"(1,1) + (1,2) + (3,1) + (3,1) + (3,1) + (3b,2)",54,F4_SU3_cubic
210,"(1,1) + (1,2) + (3,1) + (3,1) + (3,2) + (3b,1)",54,F4_SU3_cubic
211,"(1,1) + (1,2) + (3,1) + (3,1) + (3b,1) + (3b,2)",54,F4_SU3_cubic
212,"(1,1) + (1,2) + (3,1) + (3,2) + (3b,1) + (3b,1)",54,F4_SU3_cubic
213,"(1,1) + (1,2) + (3,1) + (3,2) + (6,1)",54,F4_SU3_cubic
214,"(1,1) + (1,2) + (3,1) + (3,2) + (6b,1)",54,F4_SU3_cubic
215,"(1,1) + (1,2) + (3,1) + (3b,1) + (3b,1) + (3b,2)",54,F4_SU3_cubic
216,"(1,1) + (1,2) + (3,1) + (3b,2) + (6,1)",54,F4_SU3_cubic
217,"(1,1) + (1,2) + (3,1) + (3b,2) + (6b,1)",54,F4_SU3_cubic
218,"(1,1) + (1,2) + (3,1) + (6,2)",54,F1_SU3_AF
219,"(1,1) + (1,2) + (3,1) + (6b,2)",54,F1_SU3_AF
220,"(1,1) + (1,2) + (3,2) + (3b,1) + (3b,1) + (3b,1)",54,F4_SU3_cubic
221,"(1,1) + (1,2) + (3,2) + (3b,1) + (6,1)",54,F4_SU3_cubic
222,"(1,1) + (1,2) + (3,2) + (3b,1) + (6b,1)",54,F4_SU3_cubic
223,"(1,1) + (1,2) + (3b,1) + (3b,1) + (3b,1) + (3b,2)",54,F4_SU3_cubic
224,"(1,1) + (1,2) + (3b,1) + (3b,2) + (6,1)",54,F4_SU3_cubic
225,"(1,1) + (1,2) + (3b,1) + (3b,2) + (6b,1)",54,F4_SU3_cubic
226,"(1,1) + (1,2) + (3b,1) + (6,2)",54,F1_SU3_AF
227,"(1,1) + (1,2) + (3b,1) + (6b,2)",54,F1_SU3_AF
228,"(1,1) + (3,1) + (3,2) + (8,1)",54,F4_SU3_cubic
229,"(1,1) + (3,1) + (3b,2) + (8,1)",54,F4_SU3_cubic
230,"(1,1) + (3,2) + (3b,1) + (8,1)",54,F4_SU3_cubic
231,"(1,1) + (3b,1) + (3b,2) + (8,1)",54,F4_SU3_cubic
232,"(1,2) + (8,2)",54,F1_SU3_AF
233,"(3,1) + (3,1) + (3,2) + (6,1)",54,F4_SU3_cubic
234,"(3,1) + (3,1) + (3,2) + (6b,1)",54,F4_SU3_cubic
235,"(3,1) + (3,1) + (3b,2) + (6,1)",54,F4_SU3_cubic
236,"(3,1) + (3,1) + (3b,2) + (6b,1)",54,F4_SU3_cubic
237,"(3,1) + (3,1) + (6,2)",54,F1_SU3_AF
238,"(3,1) + (3,1) + (6b,2)",54,F1_SU3_AF
239,"(3,1) + (3,2) + (3b,1) + (6,1)",54,F4_SU3_cubic
240,"(3,1) + (3,2) + (3b,1) + (6b,1)",54,F4_SU3_cubic
241,"(3,1) + (3b,1) + (3b,2) + (6,1)",54,F4_SU3_cubic
242,"(3,1) + (3b,1) + (3b,2) + (6b,1)",54,F4_SU3_cubic
243,"(3,1) + (3b,1) + (6,2)",54,F1_SU3_AF
244,"(3,1) + (3b,1) + (6b,2)",54,F1_SU3_AF
